Player Name,MLS Club,Jersey Number,Position,Hometown: City,Hometown: State/Province,Hometown: Country,Age,Height (in.),Weight (lbs.)
A.J. DeLaGarza,Inter Miami CF,20,Defender,Bryans Road,Maryland,United States of America,33,"5' 9""",150
Aaron Herrera,Real Salt Lake,22,Defender,Las Cruces,New Mexico,United States of America,23,"5' 11""",160
Aaron Long,New York Red Bulls,33,Defender,Oak Hills,California,United States of America,28,"6' 1""",175
Aaron Schoenfeld ,Minnesota United FC,12,Forward,Knoxville,Tennessee,United States of America,30,"6' 4""",190
Abdul Rwatubyaye,Colorado Rapids,14,Defender,Kigali,,Rwanda,24,"6' 1""",175
Aboubacar Keita,Columbus Crew SC,30,Defender,Columbus,Ohio,United States of America,20,"6' 2""",180
Abraham Rodriguez,Colorado Rapids,30,Goalkeeper,Thornton,Colorado,United States of America,18,"5' 9""",165
Abu Danladi,Nashville SC,7,Forward,Takoradi,,Ghana,25,"5' 10""",170
Achara,Toronto FC,99,Midfielder,Enugu,,Nigeria,23,"5' 10""",161
Adam Buksa,New England Revolution,9,Forward,Krakow,,Poland,24,"6' 3""",170
Adam Jahn,Atlanta United FC,14,Forward,El Macero,California,United States of America,29,"6' 3""",185
Adam Lundkvist FC,Houston Dynamo,3,Defender,Nyköping,,Sweden,26,"5' 9""",143
Adam Saldana,LA Galaxy,,Forward,Panorama City,California,United States of America,0,,
Adrian Zendejas,Minnesota United FC,,Goalkeeper,Chula Vista,California,United States of America,25,"6' 5""",185
Adrien Perez,Los Angeles Football Club,26,Forward,Ontario,California,United States of America,25,"6' 0""",170
Aidan Morris,Columbus Crew SC,21,Midfielder,Fort Lauderdale,Florida,United States of America,19,"5' 10""",158
Alan Pulido,Sporting Kansas City,9,Forward,Ciudad Victoria,,Mexico,29,"5' 9""",150
Alan Winn,Nashville SC,19,Forward,Garland,Texas,United States of America,24,"5' 10""",165
Albert Rusnak,Real Salt Lake,11,Midfielder,Kosice,,Slovakia,26,"5' 9""",161
Alec Kann,Atlanta United FC,25,Goalkeeper,Decatur,Georgia,United States of America,30,"6' 4""",190
Alejandro Bedoya,Philadelphia Union,11,Midfielder,Englewood,New Jersey,United States of America,33,"5' 10""",161
Alejandro Fuenmayor FC,Houston Dynamo,2,Defender,Valencia,,Venezuela,24,"6' 0""",
Alejandro Guido,Los Angeles Football Club,15,Midfielder,San Diego,California,United States of America,26,"5' 11""",170
Alejandro Pozuelo,Toronto FC,10,Midfielder,Seville,,Spain,29,"5' 7""",140
Alejandro Romero Gamarra,New York Red Bulls,10,Midfielder,Ciudadela,,Argentina,25,"5' 7""",150
Alex Bono,Toronto FC,25,Goalkeeper,Baldwinsville,New York,United States of America,26,"6' 3""",195
Alex De John,Orlando City SC,3,Defender,Marlboro Township,New Jersey,United States of America,29,"6' 0""",
Alex Monis,Chicago Fire FC,38,Forward,Naperville,Illinois,United States of America,17,"5' 6""",133
Alex Muyl,Nashville SC,29,Midfielder,New York,New York,United States of America,25,"5' 11""",175
Alex Roldan,Seattle Sounders FC,16,Defender,Pico Rivera,California,United States of America,24,"5' 10""",155
Alexander Alvarado,Orlando City SC,,Forward,Quevedo,,Ecuador,21,"5' 5""",
Alexander Buttner,New England Revolution,28,Defender,Doetinchem,,Netherlands,31,"5' 9""",165
Alexander Callens,New York City FC,6,Defender,Callao,,Peru,28,"6' 1""",180
Alexander Ring,New York City FC,8,Midfielder,Helsinki,,Finland,29,"5' 8""",159
Alexandru Mitrita,New York City FC,28,Midfielder,Craiova,,Romania,25,"5' 5""",145
Alfonso Ocampo-Chavez,Seattle Sounders FC,87,Forward,Merced,California,United States of America,18,"5' 10""",142
Ali Adnan,Vancouver Whitecaps FC,53,Defender,Baghdad,,Iraq,26,"6' 1""",180
Alistair Johnston,Nashville SC,12,Defender/Midfielder,Aurora,Ontario,Canada,22,"5' 11""",170
Aljaz Ivacic,Portland Timbers,31,Goalkeeper,Ljubljana,,Slovenia,26,"6' 2""",180
Aljaz Struna FC,Houston Dynamo,6,Defender,Piran,,Slovenia,30,"6' 2""",185
Allan Cruz,FC Cincinnati,8,Midfielder,Nicoya,,Costa Rica,24,"5' 5""",145
Allan Rodriguez,Chicago Fire FC,39,Midfielder,Elkhart,Indiana,United States of America,16,"5' 6""",153
Alvaro Barreal,FC Cincinnati,,Midfielder,Buenos Aires,,Argentina,20,"5' 8""",145
Alvaro Medran,Chicago Fire FC,10,Midfielder,Dos Torres,,Spain,26,"5' 8""",156
Alvas Powell,Inter Miami CF,2,Defender,St. Thomas,,Jamaica,26,"6' 0""",165
Alvin Jones,Real Salt Lake,2,Defender,Port of Spain,,Trinidad and Tobago,26,"6' 0""",170
Amadou Dia,Sporting Kansas City,13,Defender,Highlands Ranch,Colorado,United States of America,27,"5' 10""",150
Amar Sejdic,Montreal Impact,14,Midfielder,Louisville,Kentucky,United States of America,23,"5' 10""",158
